,number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_batch_size,params_clip_range,params_ent_coef,params_gae_lambda,params_gamma,params_learning_rate,params_max_grad_norm,params_n_epochs,params_n_steps,params_net_arch,params_target_kl,params_vf_coef,state
32,32,548.7564270999999,2025-02-13 07:29:59.975465,2025-02-13 07:30:58.692776,0 days 00:00:58.717311,tanh,1024,0.2092878406116452,0.0026980555092851253,0.9088838314790862,0.9747988120887393,0.0001046535303853808,0.9045030525542158,9,11,tiny,0.033797550730308004,0.34466799157409633,COMPLETE
33,33,569.1792857,2025-02-13 07:30:58.694519,2025-02-13 07:32:04.361011,0 days 00:01:05.666492,tanh,256,0.19960513866803295,0.00110663525376979,0.919274882322532,0.9824096138596535,8.092068182872021e-05,0.6734663570406566,9,11,tiny,0.021809144887149523,0.4242891188399205,COMPLETE
34,34,448.130031,2025-02-13 07:32:04.363027,2025-02-13 07:33:24.503821,0 days 00:01:20.140794,tanh,128,0.17699066102282834,0.003637774414020874,0.9303586754069333,0.9777637416915494,5.842856530429824e-05,1.0198500450378134,10,11,tiny,0.1047685122533019,0.4680448985327933,COMPLETE
35,35,510.48290049999997,2025-02-13 07:33:24.505818,2025-02-13 07:34:20.183541,0 days 00:00:55.677723,tanh,512,0.1536090345362676,0.0020348482501877448,0.9213833465971424,0.9863947501097131,0.00011578456985392983,0.8502511717058121,8,10,tiny,0.05717399975805476,0.3897961166098624,COMPLETE
36,36,76.0927973,2025-02-13 07:34:20.185331,2025-02-13 07:36:18.801809,0 days 00:01:58.616478,tanh,64,0.20648888156206327,0.0011094573527498472,0.9615210165036521,0.9671818736738393,0.00014284091679965882,1.4078810896170562,12,12,tiny,0.03773917126960083,0.5058246228220966,COMPLETE
37,37,395.2585206,2025-02-13 07:36:18.803719,2025-02-13 07:37:26.934697,0 days 00:01:08.130978,tanh,256,0.18860575956569042,0.03177570283589765,0.9417678811260523,0.9511500432968215,0.00019360516594673754,1.2833214085337548,9,10,small,0.13739298276529818,0.5456674475785744,COMPLETE
38,38,573.7882057999999,2025-02-13 07:37:26.937033,2025-02-13 07:38:25.460979,0 days 00:00:58.523946,relu,1024,0.17745238642124367,0.009500893389531345,0.9114539320251105,0.9541775678811975,8.257576157233013e-05,1.1612101130882428,9,11,small,0.07830300866232703,0.3370318724940198,COMPLETE
39,39,351.5519556,2025-02-13 07:38:25.462921,2025-02-13 07:39:17.086848,0 days 00:00:51.623927,relu,1024,0.17941021285877903,0.008669466718257248,0.9128926768465782,0.9544644200584108,9.121341409899871e-05,1.0065942408745916,9,11,tiny,0.04089974998560988,0.33666025676508005,COMPLETE
40,40,494.52521390000004,2025-02-13 07:39:17.088648,2025-02-13 07:40:15.187293,0 days 00:00:58.098645,tanh,1024,0.19729172355959237,0.0037390930263318848,0.9040330596817172,0.993307853520978,7.087859424127284e-05,0.7987594901846319,8,11,small,0.08014203759617176,0.3669802207346373,COMPLETE
41,41,-110.7649888,2025-02-13 07:40:15.189560,2025-02-13 07:41:14.879183,0 days 00:00:59.689623,relu,1024,0.16577401998229604,0.005612452882505715,0.9998960474966266,0.9590221659374777,9.133990189408237e-05,1.1849331325374843,10,11,small,0.12254540025546168,0.3020631905518253,COMPLETE
